title,category,Item Description,qty,msrp,Ext. Retail,Brand,upc,TCIN,Origin,Category,condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID,ebay_sold_count,ebay_sold_p50,ebay_active_count,ebay_active_p10,sell_through_proxy,listing_price,price_floor_used,days_adj_from_price
LPGS100644,IMAGING-OFFICE,Blink Outdoor 4 - Battery-Powered Smart Security 3-Camera System,6,259.99,1559.94,Amazon,840268972691,89144783,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,GARAGE & HARDWARE,TT,PTBH57666,SECURITY CAMERA,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS554027,TV-HOME ELECTRONICS,StoryPhones with 4 Educational Screen Free Audio Disks: For Ages 3-12 Reading Learning,30,39.99,1199.7,StoryPhones,840173602720,92318717,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,8,CONSUMER ELECTRONICS,TOYS,TT,PTBJ88575,KID WIRELESS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS312188,IMAGING-OFFICE,"STM Grace 15"" Sleeve - Green",26,29.99,779.74,STM,608410061088,91746464,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS832061,IMAGING-OFFICE,Belkin USB-C to VGA Adapter with 60W Power Delivery: Male-To-Female Connection Adapter,24,26.99,647.76,Belkin,745883799046,91724816,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,DOCKS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ328362,TV-HOME ELECTRONICS,StoryPhones with 4 Educational Screen Free Audio Disks: For Ages 3-12 Reading Learning,16,39.99,639.84,StoryPhones,840173602720,92318717,China,MIXED_ELECTRONICS,NEW,ELECTRONICS,8,CONSUMER ELECTRONICS,TOYS,TT,PTBG30831,KID WIRELESS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS541040,IMAGING-OFFICE,"STM Grace 15"" Sleeve - Green",21,29.99,629.79,STM,608410061088,91746464,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPHQ030091,TV-HOME ELECTRONICS,"Vankyo V700 Neo 1080P Projector with Google TV and Dolby Audio Full HD: HDMI, 20,000 Hr Bulb",2,299.99,599.98,Vankyo,810089906120,91625148,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,8,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBH57666,PROJECTORS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS943451,IMAGING-OFFICE,Belkin USB-C to VGA Adapter with 60W Power Delivery: Male-To-Female Connection Adapter,21,26.99,566.79,Belkin,745883799046,91724816,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS-01,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBJ88575,DOCKS,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS921417,IMAGING-OFFICE,"STM Myth Brief - Black: Polyester Electronics Case for Laptops up to 17""",7,79.99,559.93,STM,810046114957,91724813,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,56,CONSUMER ELECTRONICS,ELECTRONICS,TT,PTBG30831,LAPTOP BAGS/SLEEVE,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
LPGS880531,PORTABLE ELECTRONICS,Therabody Jetboots Prime Recovery Boots Medium,1,549.99,549.99,Therabody,840295405704,92395893,China,MIXED_ELECTRONICS,USED_GOOD,ELECTRONICS,57,CONSUMER ELECTRONICS,HEALTH AND BEAUTY,TT,PTBG30831,RECOVERY,irc_mixed_20250730_055_p,0,,0,,0.0,,,0.0
