title,upc,qty,unit_cost,condition,sku,ebay_sold_count,ebay_sold_p50,ebay_active_count,ebay_active_p10,sell_through_proxy,listing_price,price_floor_used,days_adj_from_price,query_mode,kw_used,raw_counts
Blink Outdoor 4 - Battery-Powered Smart Security 3-Camera System,840268972691,6,,USED_GOOD,LPGS100644,0,,0,,0.0,,,0.0,,840268972691,None
StoryPhones with 4 Educational Screen Free Audio Disks: For Ages 3-12 Reading Learning,840173602720,30,,USED_GOOD,LPGS554027,0,,0,,0.0,,,0.0,,840173602720,None
"STM Grace 15"" Sleeve - Green",608410061088,26,,USED_GOOD,LPGS312188,0,,4,14.0,0.0,,,0.0,,608410061088,None
Belkin USB-C to VGA Adapter with 60W Power Delivery: Male-To-Female Connection Adapter,745883799046,24,,USED_GOOD,LPGS832061,1,13.0,11,11.0,0.09090909090909091,13.0,11.0,-8.0,,745883799046,None
StoryPhones with 4 Educational Screen Free Audio Disks: For Ages 3-12 Reading Learning,840173602720,16,,NEW,LPHQ328362,0,,0,,0.0,,,0.0,,840173602720,None
"STM Grace 15"" Sleeve - Green",608410061088,21,,USED_GOOD,LPGS541040,0,,4,14.0,0.0,,,0.0,,608410061088,None
"Vankyo V700 Neo 1080P Projector with Google TV and Dolby Audio Full HD: HDMI, 20,000 Hr Bulb",810089906120,2,,USED_GOOD,LPHQ030091,0,,0,,0.0,,,0.0,,810089906120,None
Belkin USB-C to VGA Adapter with 60W Power Delivery: Male-To-Female Connection Adapter,745883799046,21,,USED_GOOD,LPGS943451,1,13.0,11,11.0,0.09090909090909091,13.0,11.0,-8.0,,745883799046,None
"STM Myth Brief - Black: Polyester Electronics Case for Laptops up to 17""",810046114957,7,,USED_GOOD,LPGS921417,0,,2,65.6,0.0,,,0.0,,810046114957,None
Therabody Jetboots Prime Recovery Boots Medium,840295405704,1,,USED_GOOD,LPGS880531,11,325.0,4,392.7,2.75,392.7,392.7,9.671428571428569,,840295405704,None
Blink Outdoor 4 - Battery-Powered Smart Security Camera System,840268928780,5,,USED_GOOD,LPGS676642,0,,0,,0.0,,,0.0,,840268928780,None
