upc,title,Model #,condition,category,Department,qty,Unit Retail,msrp,Unit Weight,Pallet ID,Inventory Source,ebay_sold_count,ebay_sold_p50,ebay_active_count,ebay_active_p10,sell_through_proxy,listing_price,price_floor_used,days_adj_from_price
4549688559,16422361549,VIPRB-BEESKB6NA,Nintendo Switch 2   Mario Kart World Bundle,GAMING,VIDEO GAMES BOOKS AND OTHER MEDIA,2,499.0,998.0,3.74,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
4549688559,16422361549,VIPRB-BEESKB6NA,Nintendo Switch 2   Mario Kart World Bundle,GAMING,VIDEO GAMES BOOKS AND OTHER MEDIA,1,499.0,499.0,3.74,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
4549688531,15928868255,121620,Nintendo Switch 2 + Mario Kart World Bundle,GAMING,VIDEO GAMES BOOKS AND OTHER MEDIA,1,499.0,499.0,3.74,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
68467810985,1826414603-99990,PB500NX,Pit Boss Lexington 500 Sq in Wood Fired Pellet Grill and Smoker  Onyx Series,MAJOR_APPLIANCES_KITCHEN,KITCHEN BED AND BATH DECOR OUTDOOR,1,396.0,396.0,112.44,91864027,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
777770277777,7777702-77777,Generic_GenMerch_$100orless,Generic_GenMerch_$100orless,MIXED_LOTS,,14,25.0,350.0,1.0,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
82238313804,17284756-100041,14889,"Drive Medical General Use Extreme Comfort Wheelchair Back Cushion with Lumbar Support, 18",OUTDOOR_LIVING_AND_GARDEN,HEALTH BEAUTY AND PERSONAL CARE,1,325.0,325.0,3.9,91864027,Walmart Marketplace Returns,0,,0,,0.0,,,0.0
70777393393,49453107,15-22144,ACDelco Air Conditioning Compressor 15-22144,AUTOMOTIVE_ACCESSORIES,HARDLINES,1,245.03,245.03,25.73,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
777770377777,7777703-77777,Generic_GenMerch_Morethan$100,Generic_GenMerch_Morethan$100,MIXED_LOTS,,2,100.0,200.0,1.0,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
3077207343,1206663625-100010,990132791,Tide Power PODS + Ultra OXI with Odor Eliminators Laundry Detergent Pacs (72 Ct),HOUSEHOLD_ESSENTIALS,HOUSEHOLD,3,60.18,180.54,8.34,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
88583705062,14559119280,CC009693-001,"Blue Diamond 10-Piece Diamond-Bond Hybrid Ceramic Nonstick Stainless Steel Cookware Set, Dishwasher (please be advised that sets may be missing pieces or otherwise incomplete)",KITCHEN_AND_DINING,KITCHEN BED AND BATH DECOR OUTDOOR,1,149.0,149.0,17.88,91860179,Walmart Dot Com Returns,0,,0,,0.0,,,0.0
